header,predicate,type,value,attribute,class
building_name_zh-Latn-pinyin,rdfs:label,language,,zh-Latn-pinyin,schema:LandmarksOrHistoricalBuildings
building_name_zh-Hans,rdfs:label,language,,zh-Hans,schema:LandmarksOrHistoricalBuildings
building_name_en,rdfs:label,language,,en,schema:LandmarksOrHistoricalBuildings
significance,rdfs:comment,plain,,,schema:LandmarksOrHistoricalBuildings
notes,rdfs:comment,plain,,,schema:LandmarksOrHistoricalBuildings
decimal_latitude,geo:lat,plain,,,schema:LandmarksOrHistoricalBuildings
decimal_longitude,geo:long,plain,,,schema:LandmarksOrHistoricalBuildings
verbatim_latitude,dwc:verbatimLatitude,plain,,,schema:LandmarksOrHistoricalBuildings
verbatim_longitude,dwc:verbatimLongitude,plain,,,schema:LandmarksOrHistoricalBuildings
$link,schema:geo,iri,_:3,,schema:LandmarksOrHistoricalBuildings
decimal_latitude,schema:latitude,plain,,,schema:GeoCoordinates
decimal_longitude,schema:longitude,plain,,,schema:GeoCoordinates
$link,dcterms:temporal,iri,_:2,,schema:LandmarksOrHistoricalBuildings
building_date,rdfs:label,plain,,,dcterms:PeriodOfTime
building_start,gvp:estStart,datatype,,xsd:gYear,dcterms:PeriodOfTime
building_end,gvp:estEnd,datatype,,xsd:gYear,dcterms:PeriodOfTime
