"header","predicate","type","value","attribute","subject_id"
"site_name_zh-Latn-pinyin","rdfs:label","language",,"zh-latn-pinyin","$root"
"site_name3_simplified","rdfs:label","language",,"zh-hans","$root"
"site_name2_traditional","rdfs:label","language",,"zh-hant","$root"
"site_name_en","rdfs:label","language",,"en","$root"
"site_geonames_id","foaf:based_near","iri","http://sws.geonames.org/","/","$root"
"site_getty_togn_id","foaf:based_near","iri","http://vocab.getty.edu/tgn/","-place","$root"
"locality_zn-Hans","dwc:locality","language",,"zh-hans","$root"
"locality_en","dwc:locality","language",,"en","$root"
"locality_geonames_id","schema:containedInPlace","iri","http://sws.geonames.org/","/","$root"
"locality_getty_togn_id","schema:containedInPlace","iri","http://vocab.getty.edu/tgn/","-place","$root"
"$link","dcterms:temporal","iri","_:1",,"$root"
"$constant","rdf:type","iri","schema:Place",,"$root"
"$constant","gn:featureCode","iri","gn:S.ANS",,"$root"
"site_date_verbatim_zn-Hans","rdfs:label","language",,"zh-hans","_:1"
"site_date_en","rdfs:label","language",,"en","_:1"
"earliest_period_iri","time:intervalStartedBy","iri",,,"_:1"
"latest_period_iri","time:intervalFinishedBy","iri",,,"_:1"
"$constant","rdf:type","iri","time:ProperInterval",,"_:1"
"province_name_zn-Hans","dwc:stateProvince","language",,"zh-hans","$root"
"county-city_name_zn-Hans","dwc:county","language",,"zh-hans","$root"
"province_name_zh-latn-pinyin","dwc:stateProvince","language",,"zh-latn-pinyin","$root"
"county-city_name_zh-latn-pinyin","dwc:county","language",,"zh-latn-pinyin","$root"
"political_subdivision_getty_tgn","dwciri:inDescribedPlace","iri","http://vocab.getty.edu/tgn/",,"$root"
