"work_identifier","work_class"
"000001","geo:SpatialThing"
"000002","geo:SpatialThing"
"000003","geo:SpatialThing"
"000004","geo:SpatialThing"
"000005","geo:SpatialThing"
"000006","geo:SpatialThing"
"000007","geo:SpatialThing"
"000008","geo:SpatialThing"
"000009","geo:SpatialThing"
"000010","geo:SpatialThing"
"000011","geo:SpatialThing"
"000012","geo:SpatialThing"
"000013","geo:SpatialThing"
"000014","geo:SpatialThing"
"000015","geo:SpatialThing"
"000016","geo:SpatialThing"
"000017","geo:SpatialThing"
"000018","geo:SpatialThing"
"000019","geo:SpatialThing"
"000020","geo:SpatialThing"
"000021","geo:SpatialThing"
"000022","geo:SpatialThing"
"000023","geo:SpatialThing"
"000024","geo:SpatialThing"
"000025","geo:SpatialThing"
"000026","geo:SpatialThing"
"000027","geo:SpatialThing"
"000028","geo:SpatialThing"
"000029","geo:SpatialThing"
"000030","geo:SpatialThing"
"000031","geo:SpatialThing"
"000032","geo:SpatialThing"
"000033","geo:SpatialThing"
"000034","geo:SpatialThing"
"000035","geo:SpatialThing"
"000036","geo:SpatialThing"
"000037","geo:SpatialThing"
"000038","geo:SpatialThing"
"000039","geo:SpatialThing"
"000040","geo:SpatialThing"
"000041","geo:SpatialThing"
"000042","geo:SpatialThing"
"000043","geo:SpatialThing"
"000044","geo:SpatialThing"
"000045","geo:SpatialThing"
"000046","geo:SpatialThing"
"000047","geo:SpatialThing"
"000048","geo:SpatialThing"
"000049","geo:SpatialThing"
"000050","geo:SpatialThing"
"000051","geo:SpatialThing"
"000052","geo:SpatialThing"
"000053","geo:SpatialThing"
"000054","geo:SpatialThing"
"000055","geo:SpatialThing"
"000056","geo:SpatialThing"
"000057","geo:SpatialThing"
"000058","geo:SpatialThing"
"000059","geo:SpatialThing"
"000060","geo:SpatialThing"
"000061","geo:SpatialThing"
"000062","geo:SpatialThing"
"000063","geo:SpatialThing"
"000064","geo:SpatialThing"
"000065","geo:SpatialThing"
"000066","geo:SpatialThing"
"000067","geo:SpatialThing"
"000068","geo:SpatialThing"
"000069","geo:SpatialThing"
"000070","geo:SpatialThing"
"000071","geo:SpatialThing"
"000072","geo:SpatialThing"
"000073","geo:SpatialThing"
"000074","geo:SpatialThing"
"000075","geo:SpatialThing"
"000076","geo:SpatialThing"
"000077","geo:SpatialThing"
"000078","geo:SpatialThing"
"000079","geo:SpatialThing"
"000080","geo:SpatialThing"
"000081","geo:SpatialThing"
"000082","geo:SpatialThing"
"000083","geo:SpatialThing"
"000084","geo:SpatialThing"
"000085","geo:SpatialThing"
"000086","geo:SpatialThing"
"000087","geo:SpatialThing"
"000087","geo:SpatialThing"
"000088","geo:SpatialThing"
"000090","geo:SpatialThing"
"000091","geo:SpatialThing"
"000092","geo:SpatialThing"
"000093","geo:SpatialThing"
"000094","geo:SpatialThing"
"000095","geo:SpatialThing"
"000096","geo:SpatialThing"
"000097","geo:SpatialThing"
"000098","geo:SpatialThing"
"000099","geo:SpatialThing"
"000100","geo:SpatialThing"
"000101","geo:SpatialThing"
"000102","geo:SpatialThing"
"000103","geo:SpatialThing"
"000104","geo:SpatialThing"
"000105","geo:SpatialThing"
"000106","geo:SpatialThing"
"000107","geo:SpatialThing"
"000108","geo:SpatialThing"
"000109","geo:SpatialThing"
"000110","geo:SpatialThing"
"000111","geo:SpatialThing"
"000112","geo:SpatialThing"
"000113","geo:SpatialThing"
"000114","geo:SpatialThing"
"000115","geo:SpatialThing"
"000116","geo:SpatialThing"
"000117","geo:SpatialThing"
"000118","geo:SpatialThing"
"000119","geo:SpatialThing"
"000120","geo:SpatialThing"
"000121","geo:SpatialThing"
"000122","geo:SpatialThing"
"000123","geo:SpatialThing"
"000124","schema:LandmarksOrHistoricalBuildings"
"000125","schema:LandmarksOrHistoricalBuildings"
"000126","schema:LandmarksOrHistoricalBuildings"
"000127","schema:LandmarksOrHistoricalBuildings"
"000128","schema:LandmarksOrHistoricalBuildings"
"000129","schema:LandmarksOrHistoricalBuildings"
"000130","schema:LandmarksOrHistoricalBuildings"
"000131","schema:LandmarksOrHistoricalBuildings"
"000132","schema:LandmarksOrHistoricalBuildings"
"000133","schema:LandmarksOrHistoricalBuildings"
"000134","schema:LandmarksOrHistoricalBuildings"
"000135","schema:LandmarksOrHistoricalBuildings"
"000136","schema:LandmarksOrHistoricalBuildings"
"000137","schema:LandmarksOrHistoricalBuildings"
"000138","schema:LandmarksOrHistoricalBuildings"
"000139","schema:LandmarksOrHistoricalBuildings"
"000140","schema:LandmarksOrHistoricalBuildings"
"000141","schema:LandmarksOrHistoricalBuildings"
"000142","schema:LandmarksOrHistoricalBuildings"
"000143","schema:LandmarksOrHistoricalBuildings"
"000144","schema:LandmarksOrHistoricalBuildings"
"000145","schema:LandmarksOrHistoricalBuildings"
"000146","schema:LandmarksOrHistoricalBuildings"
"000147","schema:LandmarksOrHistoricalBuildings"
"000148","schema:LandmarksOrHistoricalBuildings"
"000149","schema:LandmarksOrHistoricalBuildings"
"000150","schema:LandmarksOrHistoricalBuildings"
"000151","schema:LandmarksOrHistoricalBuildings"
"000152","schema:LandmarksOrHistoricalBuildings"
"000153","schema:LandmarksOrHistoricalBuildings"
"000154","schema:LandmarksOrHistoricalBuildings"
"000155","schema:LandmarksOrHistoricalBuildings"
"000156","schema:LandmarksOrHistoricalBuildings"
"000157","schema:LandmarksOrHistoricalBuildings"
"000158","schema:LandmarksOrHistoricalBuildings"
"000159","schema:LandmarksOrHistoricalBuildings"
"000160","schema:LandmarksOrHistoricalBuildings"
"000161","schema:LandmarksOrHistoricalBuildings"
"000162","schema:LandmarksOrHistoricalBuildings"
"000163","schema:LandmarksOrHistoricalBuildings"
"000164","schema:LandmarksOrHistoricalBuildings"
"000165","schema:LandmarksOrHistoricalBuildings"
"000166","schema:LandmarksOrHistoricalBuildings"
"000167","schema:LandmarksOrHistoricalBuildings"
"000168","schema:LandmarksOrHistoricalBuildings"
"000169","schema:LandmarksOrHistoricalBuildings"
"000170","schema:LandmarksOrHistoricalBuildings"
"000171","schema:LandmarksOrHistoricalBuildings"
"000172","schema:LandmarksOrHistoricalBuildings"
"000173","schema:LandmarksOrHistoricalBuildings"
"000174","schema:LandmarksOrHistoricalBuildings"
"000175","schema:LandmarksOrHistoricalBuildings"
"000176","schema:LandmarksOrHistoricalBuildings"
"000177","schema:LandmarksOrHistoricalBuildings"
"000178","schema:LandmarksOrHistoricalBuildings"
"000179","schema:LandmarksOrHistoricalBuildings"
"000180","schema:LandmarksOrHistoricalBuildings"
"000181","schema:LandmarksOrHistoricalBuildings"
"000182","schema:LandmarksOrHistoricalBuildings"
"000183","schema:LandmarksOrHistoricalBuildings"
"000184","schema:LandmarksOrHistoricalBuildings"
"000185","schema:LandmarksOrHistoricalBuildings"
"000186","schema:LandmarksOrHistoricalBuildings"
"000187","schema:LandmarksOrHistoricalBuildings"
"000188","schema:LandmarksOrHistoricalBuildings"
"000189","schema:LandmarksOrHistoricalBuildings"
"000190","schema:LandmarksOrHistoricalBuildings"
"000191","schema:LandmarksOrHistoricalBuildings"
"000192","schema:LandmarksOrHistoricalBuildings"
"000193","schema:LandmarksOrHistoricalBuildings"
"000194","schema:LandmarksOrHistoricalBuildings"
"000195","schema:LandmarksOrHistoricalBuildings"
"000196","schema:LandmarksOrHistoricalBuildings"
"000197","schema:LandmarksOrHistoricalBuildings"
"000198","schema:LandmarksOrHistoricalBuildings"
"000199","schema:LandmarksOrHistoricalBuildings"
"000200","schema:LandmarksOrHistoricalBuildings"
"000201","schema:LandmarksOrHistoricalBuildings"
"000202","schema:LandmarksOrHistoricalBuildings"
"000203","schema:LandmarksOrHistoricalBuildings"
"000204","schema:LandmarksOrHistoricalBuildings"
"000205","schema:LandmarksOrHistoricalBuildings"
"000206","schema:LandmarksOrHistoricalBuildings"
"000207","schema:LandmarksOrHistoricalBuildings"
"000208","schema:LandmarksOrHistoricalBuildings"
"000209","schema:LandmarksOrHistoricalBuildings"
"000210","schema:LandmarksOrHistoricalBuildings"
"000211","schema:LandmarksOrHistoricalBuildings"
"000212","schema:LandmarksOrHistoricalBuildings"
"000213","schema:LandmarksOrHistoricalBuildings"
"000214","schema:LandmarksOrHistoricalBuildings"
"000215","schema:LandmarksOrHistoricalBuildings"
"000216","schema:LandmarksOrHistoricalBuildings"
"000217","schema:LandmarksOrHistoricalBuildings"
"000218","schema:LandmarksOrHistoricalBuildings"
"000219","schema:LandmarksOrHistoricalBuildings"
"000220","schema:LandmarksOrHistoricalBuildings"
"000221","schema:LandmarksOrHistoricalBuildings"
"000222","schema:LandmarksOrHistoricalBuildings"
"000223","schema:LandmarksOrHistoricalBuildings"
"000224","schema:LandmarksOrHistoricalBuildings"
"000225","schema:LandmarksOrHistoricalBuildings"
"000226","schema:LandmarksOrHistoricalBuildings"
"000227","schema:LandmarksOrHistoricalBuildings"
"000228","schema:LandmarksOrHistoricalBuildings"
"000229","schema:LandmarksOrHistoricalBuildings"
"000230","schema:LandmarksOrHistoricalBuildings"
"000231","schema:LandmarksOrHistoricalBuildings"
"000232","schema:LandmarksOrHistoricalBuildings"
"000233","schema:LandmarksOrHistoricalBuildings"
"000234","schema:LandmarksOrHistoricalBuildings"
"000235","schema:LandmarksOrHistoricalBuildings"
"000236","schema:LandmarksOrHistoricalBuildings"
"000237","schema:LandmarksOrHistoricalBuildings"
"000238","schema:LandmarksOrHistoricalBuildings"
"000239","schema:LandmarksOrHistoricalBuildings"
"000240","schema:LandmarksOrHistoricalBuildings"
"000241","schema:LandmarksOrHistoricalBuildings"
"000242","schema:LandmarksOrHistoricalBuildings"
"000243","schema:LandmarksOrHistoricalBuildings"
"000244","schema:LandmarksOrHistoricalBuildings"
"000245","schema:LandmarksOrHistoricalBuildings"
"000246","schema:LandmarksOrHistoricalBuildings"
"000247","schema:LandmarksOrHistoricalBuildings"
"000248","schema:LandmarksOrHistoricalBuildings"
"000249","schema:LandmarksOrHistoricalBuildings"
"000250","schema:LandmarksOrHistoricalBuildings"
"000251","schema:LandmarksOrHistoricalBuildings"
"000252","schema:LandmarksOrHistoricalBuildings"
"000253","schema:LandmarksOrHistoricalBuildings"
"000254","schema:LandmarksOrHistoricalBuildings"
"000255","schema:LandmarksOrHistoricalBuildings"
"000256","schema:LandmarksOrHistoricalBuildings"
"000257","schema:LandmarksOrHistoricalBuildings"
"000258","schema:LandmarksOrHistoricalBuildings"
"000259","schema:LandmarksOrHistoricalBuildings"
"000260","schema:LandmarksOrHistoricalBuildings"
"000261","schema:LandmarksOrHistoricalBuildings"
"000262","schema:LandmarksOrHistoricalBuildings"
"000263","schema:LandmarksOrHistoricalBuildings"
