"header","predicate","type","value","attribute","subject_id"
"dcterms_identifier","dcterms:identifier","plain",,,"$root"
"dcterms_created","dcterms:created","datatype",,"xsd:dateTime","$root"
"$constant","dc:creator","plain","Tracy G. Miller",,"$root"
"$constant","dc:rights","plain","(c) 2017 Tracy G. Miller",,"$root"
"$constant","dcterms:license","iri","http://creativecommons.org/licenses/by/4.0/",,"$root"
"label","rdfs:label","plain",,,"$root"
"dcterms_description","dcterms:description","language",,"en","$root"
"ac_tag","ac:tag","plain",,,"$root"
"geo_lat","geo:lat","plain",,,"$root"
"geo_long","geo:long","plain",,,"$root"
"geo_alt","geo:alt","plain",,,"$root"
"geo_lat","schema:latitude","plain",,,"$root"
"geo_long","schema:longitude","plain",,,"$root"
"geo_alt","schema:elevation","plain",,,"$root"
"$link","ac:hasServiceAccessPoint","iri","_:1",,"$root"
"$link","ac:hasServiceAccessPoint","iri","_:2",,"$root"
"ac_accessURI","ac:accessURI","iri","https://","b.jpg","_:1"
"exif_PixelXDimension","exif:PixelXDimension","datatype",,"xsd:int","_:1"
"exif_PixelYDimension","exif:PixelYDimension","datatype",,"xsd:int","_:1"
"$constant","dc:format","plain","image/jpeg",,"_:1"
"$constant","ac:variantLiteral","plain","Good Quality",,"_:1"
"$constant","ac:variant","iri","ac:GoodQuality",,"_:1"
"ac_accessURI","ac:accessURI","iri","https://","t.jpg","_:2"
"$constant","dc:format","plain","image/jpeg",,"_:2"
"$constant","ac:variantLiteral","plain","Thumbnail",,"_:2"
"$constant","ac:variant","iri","ac:Thumbnail",,"_:2"
"link","foaf:depicts","iri","http://lod.vanderbilt.edu/historyart/site/",,"$root"
