creator,doi,articleTitle,pubDate,volume,startPage,endPage,journalId,journalTitle,publisher
http://orcid.org/0000-0003-2360-0589,http://dx.doi.org/10.1002/9781118663202.wberen606,Jews in the United States,2015-12-30,,1,4,http://id.crossref.org/isbn/9781118663202,"The Wiley Blackwell Encyclopedia of Race, Ethnicity, and Nationalism","John Wiley and Sons, Ltd"
http://orcid.org/0000-0001-8978-8495,http://dx.doi.org/10.1002/prot.24813,3d interaction homology: The structurally known rotamers of tyrosine derive from a surprisingly limited set of information-rich hydropathic interaction environments described by maps,2015-05-23,83,1118,1136,http://id.crossref.org/issn/0887-3585,"Proteins: Structure, Function, and Bioinformatics",Wiley-Blackwell
http://orcid.org/0000-0001-8978-8495,http://dx.doi.org/10.1007/7653_2015_58,Understanding Water and Its Many Roles in Biological Structure: Ways to Exploit a Resource for Drug Discovery,2015,,85,110,http://id.crossref.org/issn/1557-2153,Methods in Pharmacology and Toxicology,Springer New York
http://orcid.org/0000-0001-5509-5762,http://dx.doi.org/10.1007/978-3-319-14301-9,Tensor Categories and Endomorphisms of von Neumann Algebras,2015,,,,http://id.crossref.org/issn/2197-1757,SpringerBriefs in Mathematical Physics,Springer International Publishing
http://orcid.org/0000-0003-2360-0589,http://dx.doi.org/10.1007/bf02961574,The impact of Israel experience Programs on Israel’s symbolic meaning,2003-10,24,124,155,http://id.crossref.org/issn/0147-1694,Contemporary Jewry,Springer Nature
http://orcid.org/0000-0001-5509-5762,http://dx.doi.org/10.1007/s00023-014-0337-1,Integrable QFT and Longo–Witten Endomorphisms,2014-04-29,16,569,608,http://id.crossref.org/issn/1424-0637,Annales Henri Poincaré,Springer Nature
http://orcid.org/0000-0001-5509-5762,http://dx.doi.org/10.1007/s00023-015-0436-7,Erratum to: Integrable QFT and Longo–Witten Endomorphisms,2015-11-25,17,251,252,http://id.crossref.org/issn/1424-0637,Annales Henri Poincaré,Springer Nature
http://orcid.org/0000-0001-5509-5762,http://dx.doi.org/10.1007/s00220-012-1511-2,Models in Boundary Quantum Field Theory Associated with Lattices and Loop Group Models,2012-07-05,315,827,858,http://id.crossref.org/issn/0010-3616,Communications in Mathematical Physics,Springer Nature
http://orcid.org/0000-0001-5509-5762,http://dx.doi.org/10.1007/s00220-012-1593-x,Construction of Wedge-Local Nets of Observables through Longo-Witten Endomorphisms. II,2012-11-17,317,667,695,http://id.crossref.org/issn/0010-3616,Communications in Mathematical Physics,Springer Nature
http://orcid.org/0000-0001-5509-5762,http://dx.doi.org/10.1007/s00220-015-2560-0,Phase Boundaries in Algebraic Conformal QFT,2016-01-21,342,1,45,http://id.crossref.org/issn/0010-3616,Communications in Mathematical Physics,Springer Nature
http://orcid.org/0000-0001-8364-0924,http://dx.doi.org/10.1007/s00542-014-2287-4,A microfluidic device for generation of chemical gradients,2014-07-30,21,1797,1804,http://id.crossref.org/issn/0946-7076,Microsystem Technologies,Springer Nature
http://orcid.org/0000-0001-8364-0924,http://dx.doi.org/10.1007/s10544-017-0175-2,A microfluidic diode for sorting and immobilization of Caenorhabditis elegans,2017-05-02,19,,,http://id.crossref.org/issn/1387-2176,Biomedical Microdevices,Springer Nature
http://orcid.org/0000-0001-7954-5385,http://dx.doi.org/10.1007/s10916-015-0232-4,Metadata from Data: Identifying Holidays from Anesthesia Data,2015-03-03,39,,,http://id.crossref.org/issn/0148-5598,Journal of Medical Systems,Springer Nature
http://orcid.org/0000-0001-5509-5762,http://dx.doi.org/10.1007/s11005-016-0816-z,A Remark on CFT Realization of Quantum Doubles of Subfactors: Case Index $${ &lt; 4}$$ &lt; 4,2016-02-01,106,341,363,http://id.crossref.org/issn/0377-9017,Letters in Mathematical Physics,Springer Nature
http://orcid.org/0000-0003-2360-0589,http://dx.doi.org/10.1007/s12397-012-9080-4,Response to Steven M. Cohen’s Marshall Sklare Award Address,2012-02-22,32,95,98,http://id.crossref.org/issn/0147-1694,Contemporary Jewry,Springer Nature
http://orcid.org/0000-0003-2360-0589,http://dx.doi.org/10.1007/s12397-012-9085-z,Cultural Transmission Without Essentialism: A Response to Riv-Ellen Prell,2012-07,32,205,208,http://id.crossref.org/issn/0147-1694,Contemporary Jewry,Springer Nature
http://orcid.org/0000-0003-2360-0589,http://dx.doi.org/10.1007/s12397-015-9139-0,Choice and Obligation in Post-normative Jewish Families: Response to the Sklare Lecture,2015-06-03,35,147,152,http://id.crossref.org/issn/0147-1694,Contemporary Jewry,Springer Nature
http://orcid.org/0000-0001-9559-4646,http://dx.doi.org/10.1016/j.ajic.2013.09.018,Longitudinal evaluation of a World Wide Web–based antimicrobial stewardship program: Assessing factors associated with approval patterns and trends over time,2014-02,42,100,105,http://id.crossref.org/issn/0196-6553,American Journal of Infection Control,Elsevier BV
http://orcid.org/0000-0001-8978-8495,http://dx.doi.org/10.1016/j.ajog.2015.01.032,Identification of a gene in Mycoplasma hominis associated with preterm birth and microbial burden in intraamniotic infection,2015-06,212,779.e1,779.e13,http://id.crossref.org/issn/0002-9378,American Journal of Obstetrics and Gynecology,Elsevier BV
http://orcid.org/0000-0001-8978-8495,http://dx.doi.org/10.1016/j.bbmt.2013.12.454,In Silico Derivation of HLA-Specific Alloreactivity Potential from Whole Exome Sequencing of Stem Cell Transplant Donor-Recipient Pairs,2014-02,20,S269,S270,http://id.crossref.org/issn/1083-8791,Biology of Blood and Marrow Transplantation,Elsevier BV
http://orcid.org/0000-0001-8978-8495,http://dx.doi.org/10.1016/j.bbmt.2015.11.1103,Dynamical System Modeling to Simulate Donor T Cell Response to Whole Exome Sequencing-Derived Recipient Peptides Demonstrates Different Alloreactivity Potential in HLA-Matched and -Mismatched Donor–Recipient Pairs,2016-05,22,850,861,http://id.crossref.org/issn/1083-8791,Biology of Blood and Marrow Transplantation,Elsevier BV
http://orcid.org/0000-0002-0965-2297,http://dx.doi.org/10.1016/j.bbrc.2014.03.060,Excision of 5-hydroxymethylcytosine by DEMETER family DNA glycosylases,2014-04,446,1067,1072,http://id.crossref.org/issn/0006-291X,Biochemical and Biophysical Research Communications,Elsevier BV
