"header","predicate","type","value","attribute","subject_id"
"pref_label","rdfs:label","plain",,,"$root"
"pref_label","skos:prefLabel","plain",,,"$root"
"alt_label","skos:altLabel","plain",,,"$root"
"hide_label","skos:hiddenLabel","plain",,,"$root"
"primary_type_1","skos:broader","iri","apulianscene:",,"$root"
"primary_type_2","skos:broader","iri","apulianscene:",,"$root"
"primary_type_3","skos:broader","iri","apulianscene:",,"$root"
"primary_type_4","skos:broader","iri","apulianscene:",,"$root"
"description","rdfs:comment","language",,"en","$root"
"description","skos:definition","language",,"en","$root"
"$constant","skos:inScheme","iri","apulianscene:",,"$root"
"$constant","rdfs:isDefinedBy","iri","apulianscene:",,"$root"
