"MEDIUM","FABRIC","TECHNIQUE","FORM","SUB-FORM","START_DATE","END_DATE","PAINTER","POTTER","SUBJECT_ADDITIONAL","LOCATION_COUNTRY","LOCATION_CITY","COLLECTION_NAME","COLLECTION_ID","PROVENIENCE","modified","local_unique_identifier","TRENDALL_ID","scene_type_a_cv","IMAGE_SERIES","SCENE_TYPE_A","MUSICAL_SCENE_TYPE_A","CAT_DESCRIPTION_A","SIDE_A_DETAILS","SIDE_A_INSTRUMENTS_AND_NUMBERS","SIDE_A_PERFORMERS","SIDE_A_PERFORMER_LOCATION","SIDE_A_PERFORMER_ACTION","SIDE_A_NUMBER_OF_FIGURES","SIDE_A_COMPOSITION","SCENE_TYPE_B","MUSICAL_SCENE_TYPE_B","CAT_DESCRIPTION_B","SIDE_B_DETAILS","SIDE_B_INSTRUMENTS_AND_NUMBERS","SIDE_B_PERFORMERS","SIDE_B_PERFORMER_LOCATION","SIDE_B_PERFORMER_ACTION","SIDE_B_NUMBER_OF_FIGURES","SIDE_B_COMPOSITION","IMAGE_IDS","NOTES","PUBLICATION","CATEGORY_1","CATEGORY_2","RVAp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Bell","0430","0410","Painter of the Berlin Dancing Girl",,,,"Taranto","MARTA",,"Rutigliano","2017-02-20T22:30:00-06:00","01-01a","01.01a",,5977,"DANCING","DANCING(AU), DANCING(TYM)","woman dancing and playing aulos, youth dancing with tympanon","Auletrix (Aulos) dancing, with dancing male (frontal) with tambourine","1_(AU),1_(TYM)","F(AU),M(TYM)","L(AU),R(TYM)","DANCING(AU),DANCING(TYM)","1_F,1_M","SINGLE","MANTLE FIGURES",,"mantle figures","Two male mantle figures, facing one another, one with frontal body",,,,,"2_M","SINGLE","IMAG5977.jpg",,,"DIO",,"RVAp Supplement II.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Bell","0400","0390","Ariadne Painter",,,,"Cleveland","Museum of Art",89.73,,"2017-02-20T22:30:00-06:00","01-1qq","01.1??",,"6121-29","THEATER, DIONYSOS",,"central head of Dionysos with phlyax actor to left and papposilenos to right, grapes above","Thymiaterion to the L with a phlyax actor facing R picking a bunch of grapes growing from the giant, central head of a youth (Dionysos), with a hirsute papposilenos actor with stage boots and mask on the R facing centre and holding a giant skyphos decorated with dancing figure on L and aulos player on R",,,,,"2_S,1_M","RADIAL","PROCESSION (DIONYSIAC)","PROCESSION (DIONYSIAC)(AU), PROCESSION (DIONYSIAC)(TYM)","youth (Dionysos?), bearded satyr playing aulos, and woman with tympanon moving right","A nude youth, ﾾ walks to the R with a thyrsos, a satyr (bearded) walks to the R playing the aulos and with an empty wineskin hanging from his L arm and a woman, walking R, holds her head back and beats a tambourine","1_(AU),1_(TYM)","S(AU),F(TYM)","C(AU),R(TYM)","WALKING(AU),WALKING(TYM)","1_F,1_M,1_S","SINGLE","IMAG6121.jpg, IMAG6122.jpg, IMAG6123.jpg, IMAG6124.jpg, IMAG6125.jpg, IMAG6126.jpg, IMAG6127.jpg, IMAG6128.jpg, IMAG6129.jpg",,,"DIO",,"Who knows?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Column","0400","0390","Ariadne Painter",,,,"Lisbon","Pal�cio de Bel�m","P548",,"2017-02-20T22:30:00-06:00","01-118a","01.118a",,"6103-4","PROCESSION (DIONYSIAC)","PROCESSION (DIONYSIAC)(TYM)","lip: black silhouette animals; neck: black silhouette ivy; body: youth (Dionysos), woman with tympanon, sayr, and another woman moving right","Body: four figures moving R, woman with kottabos stand, nude frontal youth with torch and kalathos, Woman with tambourine raised, nude youth looking back and frontal with thyrsos","1_(TYM)","F(TYM)","C(TYM)","WALKING(TYM)","2_F,2_M","SINGLE","MANTLE FIGURES",,"lip: dots; neck: black silhouette ivy; body: mantle  figures","Four mantle figures facing each other in pairs; L figure facing R, 2nd figure extending wreath to L, jumping weights in centre between heads, 3rd figure facing R, 4th figure facing L with walking stick",,,,,"4_M","SINGLE","IMAG6103.jpg, IMAG6104.jpg",,,"DIO",,"RVAp I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Volute","0430","0410","Painter of the Berlin Dancing Girl",,,,"Taranto","MARTA",140639,"Rutigliano T. 24","2017-02-20T22:30:00-06:00","01-12a","01.12a",,"5982-83","MYTHOLOGICAL",,"neck: amazonomachy; body: Thanatos, Memnon, and Achilles receiving wreath from Nike","Body: Thanatos, Memnon, Achilles receiving wreath from victory; Amazonomachy on neck",,,,,"5_F,5_M,1_N,1_OW,2_A","SINGLE","PALAESTRA","PALAESTRA(AU)","neck: youths riding horses; body: palaestra scene with bearded auletes, trainer, y outh with discus, and youth with jumping weights","Body: Auletes (aulos), mantle figure with staff, nude youth with discus, nude youth with jumping weights; neck: cavalry","1_(AU)","M(AU)","L(AU)","STANDING(AU)","8_M,4_A","SINGLE","IMAG5982.jpg, IMAG5983.jpg",,,"SGL",,"RVAp I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0430","0410","Painter of the Berlin Dancing Girl",,,"US","New York","Market (Sotheby's)","21.05.84, 384, F22405",,"2017-02-20T22:30:00-06:00","01-14a","01.14a",,"5991-97","???","???(CHYL)","youth holding chelys lyre standing beside stool, two draped women on either side and two additional draped women under the handles","Two female figures under handles, two dancing females facing one another with kitharist (m) holding chelys lyre (l) and mantle (r), frontal and centre, looking R; low seat","1_(CHYL)","M(CHYL)","C(CHYL)","STANDING(CHYL)","4_F,1_M","SINGLE",,,,,,,,,,,"IMAG5991.jpg, IMAG5992.jpg, IMAG5993.jpg, IMAG5994.jpg, IMAG5995.jpg, IMAG5996.jpg, IMAG5997.jpg",,,"ECA",,"RVAp Supplement II.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater (?)","FRAG","0430","0420","Hearst Painter",,,,"Basel","Private Collection (H.A. Cahn)",278,,"2017-02-20T22:30:00-06:00","01-25a","01.25a",,"6004-09","PROCESSION (DIONYSIAC), MYTHOLOGICAL",,"fragment: upper frieze, dancing youths and maenads, lower frieze, anodos of Persephone","Two friezes, lower with satyrs with hammers and a female rising from the ground (return of Persephone?), upper with dancing youths and maenads",,,,,"3_F,2_M,4_S,2_?","2 FRIEZES","DINING","DINING(BARB)","fragmentary: symposiasts with female dancer","fragments of dining scene with one symposiast playing a chelys lyre and a girl dancing and clapping","1_(BARB)","M(BARB)","R(BARB)","RECLINING(BARB)","1_F,5_M","2 FRIEZES","IMAG6004.jpg, IMAG6005.jpg, IMAG6006.jpg, IMAG6007.jpg, IMAG6008.jpg, IMAG6009.jpg",,"* SEE MATHESON, POLYGNOTOS AND VASE PAINTING IN CLASSICAL ATHENS 194-95 FOR PARALLELS","DIO",,"RVAp I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Volute","0410","0390","Painter of the Birth of Dionysos",,,,"Ruvo","Museo Archeologico Nazionale Jatta",1088,,"2017-02-20T22:30:00-06:00","02-23_or_03-01","02.23 (or 03.01)",,"6159-63","MYTHOLOGICAL, FUNERARY","MYTHOLOGICAL(SA), FUNERARY(SA)","Herakles and Kyknos","Apotheosis of Herakles, L-R: Athena, hair up, wearing aegis, holding a vertical spear in each hand, stands facing R; above, a fury with snakes in her hair and on her arms, boots, and a short belted chiton sits L and looks down/R, Herakles, frontal, bearded, with fluttering cloak and shield turns slightly R and looks back to Athena, club/lion skin/quiver/bow at his feet, nude youth above looking R, frontal, with scarf draped over L arm, staff in R hand, and ivy wreath in hair (Dionysos?), nude youth ﾾ L with cloak, helmet, spear in R hand, sheathed blade on L hip, shield balanced on ground with L hand, looking L and a bird brings a snake over his head, frontal biga with horses looking at one another and fully-dressed male (?) figure frontal with cuirass, cloak, helmet, long chiton, looking L, small dog below looking up at horses (note: 'stones' on groundline at R half), woman with short chiton with x-belt across chest, cloak, boots, and Persian helmet/hat facing L, holding spear in L hand and salpinx in R","1_(SA)","F(SA)","R(SA)","STANDING(SA)","3_F,4_M,4_A","SINGLE","ATTENDANT (DIONYSIAC)","ATTENDANT (DIONYSIAC)(AU), ATTENDANT (DIONYSIAC)(TYM)","youth (Dionysos) seated with satyr and female attendants","Satyrs and maenads, L-R: seated maenad facing L and looking R and holding a set of auloi (?) in her R hand, a floating tympanon above, bearded satyr holding kalathos and facing/looking L, seated torso-nude youth (Dionysos?) with thyrsos and phiale extended to R to accept liquid being poured by a woman, standing and dressed in a high-waisted, long chiton facing L with lekythos in R hand and tympanon in upraised L, reclining bearded satyr facing L with thyrsos over shoulder and rhyton in R hand, bell krater in lower R corner","1_(AU),1_(TYM)","F(AU),F(TYM)","L(AU),R(TYM)","SEATED(AU),STANDING(TYM)","2_F,1_M,2_S","SINGLE","IMAG6159.jpg, IMAG6160.jpg, IMAG6161.jpg, IMAG6162.jpg, IMAG6163.jpg",,,"MTH",,"Who knows?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Bell","0400","0370","Tarporley Painter",,,,"Bari","Private Collection (Prof. Rizzon)",5,,"2017-02-20T22:30:00-06:00","03-06a","03.06a",,6191,"PROCESSION (DIONYSIAC)","PROCESSION (DIONYSIAC)(TYM)","satyr and woman with tympanon moving right","Frontal, young satyr wearing boots, holding a kalathos in his R hand, a kottabos stand in his L, moving R and looking L, and a maenad moving R, looking down/R, dancing, and about to beat her R hand onto the tympanon held in her L","1_(TYM)","F(TYM)","R(TYM)","DANCING(TYM)","1_M,1_S","SINGLE","MANTLE FIGURES",,"mantle figures","Two mantle figures facing one another, L one with stick, R one extended a banner/scarf to L",,,,,"2_M","SINGLE","IMAG6191.jpg",,,"DIO",,"RVAp Supplement II.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Bell","0390","0375","Close to the Group of Lecce 686",,,,"Brussels","Market (Drees-Asfar)",,,"2017-02-20T22:30:00-06:00","03-89b","03.89b",,6296,"STANDING_COURTSHIP/ATTENDANT","STANDING_COURTSHIP/ATTENDANT(TYM)","nude youth with draper over left arm and wreath in hair, ﾾ frontal moves and faces R, fully-draped woman with bracelets, earrings, and necklace faces L and holds a tambourine in her R hand in front of her","nude youth with draper over left arm and wreath in hair, ﾾ frontal moves and faces R, fully-draped woman with bracelets, earrings, and necklace faces L and holds a tambourine in her R hand in front of her","1_(TYM)","F(TYM)","C(TYM)","STANDING(TYM)","1_F,1_M","SINGLE","MANTLE FIGURES (QUASI)",,"A mantle figure stands L opposite and facing a nude youth, ﾾ frontal, facing R and resting R hand on a stick; jumping weights above","A mantle figure stands L opposite and facing a nude youth, ﾾ frontal, facing R and resting R hand on a stick; jumping weights above",,,,,"2_M","SINGLE","IMAG6296.jpg",,,"SGL",,"RVAp Supplement II.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Bell","0390","0375","R.S. Painter",,,,"San Marino","Market (Arte S.A.)","11.12.92 346",,"2017-02-20T22:30:00-06:00","03-93f","03.93f","standingDionysiac ",6309,"STANDING (DIONYSIAC)","STANDING (DIONYSIAC)(TYM)","A column flanks a young, frontal satyr who extends a tympanon to the R and above a calyx krater resting on the ground; a maenad with oinochoe in L hand and a torch in R hand faces the satyr","A column flanks a young, frontal satyr who extends a tympanon to the R and above a calyx krater resting on the ground; a maenad with oinochoe in L hand and a torch in R hand faces the satyr","1_(TYM)","S(TYM)","C(TYM)","STANDING(TYM)","1_F,1_S","SINGLE","NO PHOTO",,"???","???",,,,,,,"IMAG6309.jpg",,,"DIO",,"Who knows?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Bell","0380","0365","Long Overfalls Group",,,,"San Antonio","Museum of Art","86-138 (91) D404",,"2017-02-20T22:30:00-06:00","04-106a","04.106a","processionDionysiac ","6463-66","PROCESSION (DIONYSIAC)","PROCESSION (DIONYSIAC)(TYM)","nude youth moving L with drapery over arms, looking R, carrying thyrsos and phiale, woman moving L with torch and upraised tambourine","nude youth moving L with drapery over arms, looking R, carrying thyrsos and phiale, woman moving L with torch and upraised tambourine","1_(TYM)","F(TYM)","R(TYM)","WALKING(TYM)","1_F,1_M","SINGLE","MANTLE FIGURES",,"Two mantle figures facing one another, both with sticks","Two mantle figures facing one another, both with sticks",,,,,"2_M","SINGLE","IMAG6463.jpg, IMAG6464.jpg, IMAG6465.jpg, IMAG6466.jpg",,,"DIO",,"RVAp Supplement II.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
